ds,y
2016/9/1,311.9
2016/9/2,311
2016/9/3,303.6
2016/9/4,309
2016/9/5,318.8
2016/9/6,313.6
2016/9/7,310.5
2016/9/8,296.6
2016/9/9,297.9
2016/9/10,294
2016/9/11,289.9
2016/9/12,301
2016/9/13,296.1
2016/9/14,294.4
2016/9/15,289
2016/9/16,275.1
2016/9/17,272.9
2016/9/18,277.9
2016/9/19,284.8
2016/9/20,283.5
2016/9/21,283
2016/9/22,286.4
2016/9/23,280.9
2016/9/24,278.6
2016/9/25,278.67
2016/9/26,274.9
2016/9/27,277
2016/9/28,278.3
2016/9/29,275.4
2016/9/30,276
2016/10/1,275
2016/10/2,275
2016/10/3,274.6
2016/10/4,274.39422
2016/10/5,274.12194
2016/10/6,273.91968
2016/10/7,273.71852
2016/10/8,273.5532
2016/10/9,273.42195
2016/10/10,273.32295
2016/10/11,274.9
2016/10/12,271.5
2016/10/13,276.6
2016/10/14,274.6
2016/10/15,267.4
2016/10/16,275.9
2016/10/17,284.4
2016/10/18,276.5
2016/10/19,276.8
2016/10/20,270.8
2016/10/21,267.4
2016/10/22,272
2016/10/23,278.8
2016/10/24,274.13551
2016/10/25,278.1
2016/10/26,276.9
2016/10/27,267
2016/10/28,274.8
2016/10/29,274.74936
2016/10/30,272.7
2016/10/31,274.94561
2016/11/1,275
2016/11/2,275.09547
2016/11/3,275.6
2016/11/4,275
2016/11/5,270.9
2016/11/6,274.8
2016/11/7,277.9
2016/11/8,275.19547
2016/11/9,274.4
2016/11/10,271.5
2016/11/11,274.8187
2016/11/12,274.65787
2016/11/13,274.46739
2016/11/14,274.28017
2016/11/15,274.03358
2016/11/16,273.798
2016/11/17,273.49498
2016/11/18,273.21128
2016/11/19,272.85272
2016/11/20,272.46509
2016/11/21,272.04921
2016/11/22,271.67105
2016/11/23,271.20563
2016/11/24,270.71549
2016/11/25,270.20222
2016/11/26,269.66
2016/11/27,269.19402
2016/11/28,268.62535
2016/11/29,268.0416
2016/11/30,264.9
2016/12/1,266.1
2016/12/2,266.31372
2016/12/3,265.69674
2016/12/4,264.1
2016/12/5,264.46161
2016/12/6,262.7
2016/12/7,263.5
2016/12/8,262.3
2016/12/9,262.24137
2016/12/10,258
2016/12/11,262.4
2016/12/12,263.1
2016/12/13,261.8
2016/12/14,263.4
2016/12/15,261.6
2016/12/16,262
2016/12/17,257.9
2016/12/18,259.1
2016/12/19,260
2016/12/20,255.7
2016/12/21,257.2
2016/12/22,261
2016/12/23,259.2
2016/12/24,253.8
2016/12/25,260.6
2016/12/26,263
2016/12/27,261.3
2016/12/28,261
2016/12/29,257.71068
2016/12/30,259
2016/12/31,251.9
2017/1/1,258.38296
2017/1/2,257.3
2017/1/3,261.2
2017/1/4,257.7
2017/1/5,256.8
2017/1/6,257.3
2017/1/7,252.1
2017/1/8,262.3
2017/1/9,263.8
2017/1/10,261.4
2017/1/11,260.6
2017/1/12,260.3
2017/1/13,260.6
2017/1/14,255.3
2017/1/15,256.1
2017/1/16,256
2017/1/17,254.6
2017/1/18,255.6
2017/1/19,253.9
2017/1/20,255.2
2017/1/21,253.7
2017/1/22,249.1
2017/1/23,243
2017/1/24,238.1
2017/1/25,232.7
2017/1/26,229.3
2017/1/27,212
2017/1/28,187.1
2017/1/29,189.6
2017/1/30,193.1
2017/1/31,195.8
2017/2/1,203.4
2017/2/2,216.9
2017/2/3,225.3
2017/2/4,225.1
2017/2/5,232.8
2017/2/6,238
2017/2/7,236.3
2017/2/8,238.8
2017/2/9,239.7
2017/2/10,241
2017/2/11,235
2017/2/12,243.7
2017/2/13,250.4
2017/2/14,246.5
2017/2/15,251.1
2017/2/16,251.4
2017/2/17,254.4
2017/2/18,251.9
2017/2/19,259.2
2017/2/20,259.8
2017/2/21,253.3
2017/2/22,257.8
2017/2/23,260.3
2017/2/24,261.1
2017/2/25,259.1
2017/2/26,266.4
2017/2/27,269.5
2017/2/28,268.2
2017/3/1,258.26345
2017/3/2,268.1
2017/3/3,271.3
2017/3/4,269
2017/3/5,274.6
2017/3/6,275.8
2017/3/7,270.9
2017/3/8,273.5
2017/3/9,279.7
2017/3/10,282.6
2017/3/11,277.2
2017/3/12,284.6
2017/3/13,289.3
2017/3/14,288.5
2017/3/15,286.7
2017/3/16,281.4
2017/3/17,278.9
2017/3/18,273
2017/3/19,280.1
2017/3/20,272.4
2017/3/21,273.5
2017/3/22,270.8
2017/3/23,255.2
2017/3/24,254
2017/3/25,260.5
2017/3/26,268.5
2017/3/27,274.1
2017/3/28,272
2017/3/29,272.7
2017/3/30,272.1
2017/3/31,277.8
2017/4/1,277.4
2017/4/2,264
2017/4/3,259.9
2017/4/4,265.8
2017/4/5,280
2017/4/6,280.7
2017/4/7,273.7
2017/4/8,269.2
2017/4/9,279.4
2017/4/10,284.5
2017/4/11,281.8
2017/4/12,288.9
2017/4/13,285.8
2017/4/14,288.9
2017/4/15,289.4
2017/4/16,289.1
2017/4/17,293
2017/4/18,291.7
2017/4/19,280.3
2017/4/20,288.4
2017/4/21,297.00549
2017/4/22,288.2
2017/4/23,295.7
2017/4/24,301
2017/4/25,294.3
2017/4/26,298.9
2017/4/27,301.4
2017/4/28,305.3
2017/4/29,295.4
2017/4/30,283.2
2017/5/1,292.3
2017/5/2,310.4
2017/5/3,297.4
2017/5/4,297.5
2017/5/5,292.2
2017/5/6,297.5
2017/5/7,310.2
2017/5/8,314.6
2017/5/9,311.5
2017/5/10,316.8
2017/5/11,314.1
2017/5/12,313.1
2017/5/13,300.7
2017/5/14,309.2
2017/5/15,317.1
2017/5/16,320.6
2017/5/17,325.2
2017/5/18,333.2
2017/5/19,331.1
2017/5/20,322.5
2017/5/21,317.4
2017/5/22,281.7
2017/5/23,291.2
2017/5/24,297.9
2017/5/25,301.3
2017/5/26,306.4
2017/5/27,311.2
2017/5/28,297.4
2017/5/29,277.3
2017/5/30,281.6
2017/5/31,315.1
2017/6/1,316
2017/6/2,298.1
2017/6/3,301.2
2017/6/4,311.2
2017/6/5,313
2017/6/6,273.7
2017/6/7,298.1
2017/6/8,304.7
2017/6/9,318.8
2017/6/10,306.5
2017/6/11,311.5
2017/6/12,314.4
2017/6/13,293.1
2017/6/14,311.9
2017/6/15,323.8
2017/6/16,331.3
2017/6/17,320.8
2017/6/18,319.4
2017/6/19,333.1
2017/6/20,334.6
2017/6/21,318.2
2017/6/22,280
2017/6/23,273.5
2017/6/24,278.5
2017/6/25,290.5
2017/6/26,302
2017/6/27,305.9
2017/6/28,307.2
2017/6/29,308.2
2017/6/30,314.2
2017/7/1,306.7
2017/7/2,312.2
2017/7/3,322.3
2017/7/4,297.2
2017/7/5,307
2017/7/6,288.8
2017/7/7,305
2017/7/8,293.3
2017/7/9,301.8
2017/7/10,312.8
2017/7/11,315.6
2017/7/12,323.6
2017/7/13,329.1
2017/7/14,315.5
2017/7/15,290.1
2017/7/16,303.1
2017/7/17,314.7
2017/7/18,307.3
2017/7/19,308.5
2017/7/20,309.9
2017/7/21,285.2
2017/7/22,281.2
2017/7/23,288.6
2017/7/24,299.6
2017/7/25,297.6
2017/7/26,282.4
2017/7/27,293.6
2017/7/28,293.6
2017/7/29,285.1
2017/7/30,295.7
2017/7/31,308
2017/8/1,305.6
2017/8/2,302.4
2017/8/3,304.2
2017/8/4,301.9
2017/8/5,290.4
2017/8/6,297.3
2017/8/7,313.2
2017/8/8,311.2
2017/8/9,295.1
2017/8/10,302
2017/8/11,293.4
2017/8/12,268
2017/8/13,279.4
2017/8/14,294.9
2017/8/15,295.1
2017/8/16,290.5
2017/8/17,293.6
2017/8/18,286.7
2017/8/19,278.5
2017/8/20,288
2017/8/21,304.7
2017/8/22,294.7
2017/8/23,295.3
2017/8/24,297.7
2017/8/25,296.1
2017/8/26,281.6
2017/8/27,268.3
2017/8/28,291.7
2017/8/29,291.7
2017/8/30,292.8
2017/8/31,288.3
2017/9/1,287.6
2017/9/2,280.5
2017/9/3,288.9
2017/9/4,297.4
2017/9/5,298.5
2017/9/6,303.8
2017/9/7,308.8
2017/9/8,309.6
2017/9/9,294.2
2017/9/10,289.8
2017/9/11,302.7
2017/9/12,305.9
2017/9/13,307.1
2017/9/14,306.3
2017/9/15,299.2
2017/9/16,291.2
2017/9/17,299.5
2017/9/18,312.6
2017/9/19,311.9
2017/9/20,313.1
2017/9/21,309
2017/9/22,306.4
2017/9/23,299.4
2017/9/24,307.2
2017/9/25,310.1
2017/9/26,293.4
2017/9/27,295.7
2017/9/28,300.7
2017/9/29,299.5
2017/9/30,292.7
2017/10/1,263
2017/10/2,240
2017/10/3,242.9
2017/10/4,241
2017/10/5,249.5
2017/10/6,256.2
2017/10/7,259.4
2017/10/8,269.5
2017/10/9,265.8
2017/10/10,269
2017/10/11,278.7
2017/10/12,275
2017/10/13,278.5
2017/10/14,267.8
2017/10/15,277.1
2017/10/16,280.4
2017/10/17,276.5
2017/10/18,266
2017/10/19,275.9
2017/10/20,272.6
2017/10/21,270
2017/10/22,270
2017/10/23,278.9
2017/10/24,275.9
2017/10/25,272.4
2017/10/26,273.4
2017/10/27,271.6
2017/10/28,269.6
2017/10/29,280
2017/10/30,283.8
2017/10/31,280.4
2017/11/1,282.5
2017/11/2,281.3
2017/11/3,280.4
2017/11/4,275.9
2017/11/5,280
2017/11/6,283.9
2017/11/7,283.3
2017/11/8,284.1
2017/11/9,281.3
2017/11/10,283
2017/11/11,276.9
2017/11/12,284.5
2017/11/13,285
2017/11/14,282.8
2017/11/15,284.3
2017/11/16,282.3
2017/11/17,279.9
2017/11/18,270.7
2017/11/19,274.5
2017/11/20,277.7
2017/11/21,274.8
2017/11/22,274.5
2017/11/23,272.1
2017/11/24,271.9
2017/11/25,268.1
2017/11/26,273.6
2017/11/27,273.8
2017/11/28,272.9
2017/11/29,272.1
2017/11/30,271.8
2017/12/1,271.1
2017/12/2,266
2017/12/3,272.2
2017/12/4,271.5
2017/12/5,270.1
2017/12/6,268.8
2017/12/7,266.1
2017/12/8,265.7
2017/12/9,261.8
2017/12/10,267.3
2017/12/11,267
2017/12/12,263.7
2017/12/13,265.9
2017/12/14,264.1
2017/12/15,266
2017/12/16,265.4
2017/12/17,273.6
2017/12/18,271.2
2017/12/19,273.8
2017/12/20,272.4
2017/12/21,264.7
2017/12/22,267.9
2017/12/23,267.37046
2017/12/24,267.05776
2017/12/25,271.9
2017/12/26,269.7
2017/12/27,267.3
2017/12/28,265.6
2017/12/29,264.6
2017/12/30,265.3
2017/12/31,267.05776
2018/1/1,264.7
2018/1/2,266.4
2018/1/3,264.04158
2018/1/4,263.1
2018/1/5,266.4
2018/1/6,261.7
2018/1/7,267.4
2018/1/8,269
2018/1/9,266.2
2018/1/10,261.56449
2018/1/11,261.11494
2018/1/12,260.80894
