f0	f1	f2	f3	f6	f7	f8	f9	f10	f11	f12	label	index	raw	global	local	R	G	L	date	local_A	FAC1_1	FAC2_1	FAC3_1	FAC4_1
27.00	19.00	23.08	17	1	32	16.0000	3.60	11.25	.0	6.0	311.9	1	311.90000	311.90000	311.90000	1	1	1	01-Sep-2016	311.90000	.60317	-.77461	1.00501	-.06301
28.00	20.00	23.68	16	1	34	18.0000	11.70	15.20	.0	8.0	311.0	2	311.00000	311.00000	311.00000	1	1	1	02-Sep-2016	311.00000	.75459	-.73420	.97694	.04658
30.00	20.00	25.75	16	1	39	20.0000	14.50	17.32	.0	.0	303.6	3	303.60000	303.60000	303.60000	1	1	1	03-Sep-2016	303.60000	.83425	-.64629	1.19605	.06362
28.00	18.00	24.18	4	3	110	20.0000	15.70	17.68	7.0	70.0	.0	4		311.00000	309.00000	1	1	1	04-Sep-2016	309.00000	1.39773	.79353	-1.62120	-.08877
30.00	20.00	24.96	18	1	48	18.6000	11.20	15.41	.0	.0	318.8	5	318.80000	318.80000	318.80000	1	1	1	05-Sep-2016	318.80000	.73180	-.57438	1.28509	.00813
31.00	21.00	26.56	16	1	38	19.0000	8.00	14.19	.0	.0	313.6	6	313.60000	313.60000	313.60000	1	1	1	06-Sep-2016	313.60000	.82214	-.66852	1.21453	-.08425
31.00	19.00	22.70	16	2	65	18.0000	14.00	15.73	6.0	49.0	310.5	7	310.50000	310.50000	310.50000	1	1	1	07-Sep-2016	310.50000	1.03431	-.10359	-.25242	-.08563
31.00	18.00	24.50	18	1	39	17.0000	5.00	13.30	.0	2.0	296.6	8	296.60000	296.60000	296.60000	1	1	1	08-Sep-2016	296.60000	.66688	-.68125	1.22655	-.07564
31.00	19.00	24.66	16	1	38	16.0000	8.20	12.30	.0	.0	297.9	9	297.90000	297.90000	297.90000	1	1	1	09-Sep-2016	297.90000	.69681	-.68840	1.13178	-.04824
29.00	18.00	24.33	4	1	38	20.0000	9.70	13.92	9.0	145.0	294.0	10	294.00000	294.00000	294.00000	1	1	1	10-Sep-2016	294.00000	1.77020	-1.12596	-2.80824	-.31484
